'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
Average,,,"03:48.2930", "174.6070", "22.1275", "31.5585"
Best possible,,, "01:38.1740", "44.8400", "22.0850", "31.2490"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Horanjo"
"1 ", ks_mazda_mx5_cup, no,"0", "02:46.0380", "106.7910", "23.6160", "35.6310",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:50.5920", "46.7900", "23.0590", "40.7430",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:44.4170", "48.6720", "22.3690", "33.3760",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "03:59.9650", "183.8180", "22.9600", "33.1870",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:56.0610", "46.2920", "22.5280", "47.2410",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:41.5290", "46.3850", "22.1940", "32.9500",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:41.9600", "46.6740", "22.4950", "32.7910",  "F:H - R:H",     
Average,,,"02:14.3661", "75.0603", "22.7459", "36.5599"
Best possible,,, "01:41.2770", "46.2920", "22.1940", "32.7910"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Jifu"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"NotJames", "ks_mazda_mx5_cup", "01:36.8420", ""
"MrGrinder", "ks_mazda_mx5_cup", "01:37.1050", "0.263"
"MrGrinder", "ks_mazda_mx5_cup", "01:37.2300", "0.388"
"McLarenTim", "ks_mazda_mx5_cup", "01:37.2720", "0.43"
"McLarenTim", "ks_mazda_mx5_cup", "01:37.3690", "0.527"
"NotJames", "ks_mazda_mx5_cup", "01:37.3790", "0.537"
"MrGrinder", "ks_mazda_mx5_cup", "01:37.5310", "0.689"
"maestro", "ks_mazda_mx5_cup", "01:37.5420", "0.7"
"gunciz", "ks_mazda_mx5_cup", "01:37.5730", "0.731"
